ID,Text,alignment,Label
55036,                                                                                                                                ,-1,Unknown
86111,//----------------------------------------------------------------------------------------------------------------,-1,Unknown
63971, ----------------------------------------------------------------------------------------------------------------,-1,Unknown
54448,//------------------------------------------------------------------------------------------------,-1,Unknown
57791, ------------------------------------------------------------------------------------------------,-1,Unknown
83555,/************************************************************************************************,-1,Unknown
58584,////////////////////////////////////////////////////////////////////////////////////////////////,-1,Unknown
95071,------------------------------------------------------------------------------------------------,-1,Unknown
83770,                                                                                               ,-1,Unknown
77120,                                                                                           ,-1,Unknown
63067,                                                                                       ,-1,Unknown
49741,                                                                                   ,-1,Unknown
48858,//--------------------------------------------------------------------------------,-1,Unknown
63676, =================================================================================,-1,Unknown
91049,//================================================================================,-1,Unknown
38069, --------------------------------------------------------------------------------,-1,Unknown
73049,/********************************************************************************,-1,Unknown
73932, ********************************************************************************,-1,Unknown
92130,                                                                                 ,-1,Unknown
27309,////////////////////////////////////////////////////////////////////////////////,-1,Unknown
39148,################################################################################,-1,Unknown
42013,--------------------------------------------------------------------------------,-1,Unknown
59611,********************************************************************************,-1,Unknown
61252,================================================================================,-1,Unknown
94057,                                                                                ,-1,Unknown
38177,                                                                               ,-1,Unknown
17473,//----------------------------------------------------------------------------,-1,Unknown
55962,/*----------------------------------------------------------------------------,-1,Unknown
62058,//****************************************************************************,-1,Unknown
78420,                                                                              ,-1,Unknown
21865,/****************************************************************************,-1,Unknown
23106, ----------------------------------------------------------------------------,-1,Unknown
27708, ****************************************************************************,-1,Unknown
56612,                                                                             ,-1,Unknown
58863,#----------------------------------------------------------------------------,-1,Unknown
83225, ############################################################################,-1,Unknown
21653,----------------------------------------------------------------------------,-1,Unknown
26309,////////////////////////////////////////////////////////////////////////////,-1,Unknown
30986,############################################################################,-1,Unknown
32406,****************************************************************************,-1,Unknown
53928,                                                                            ,-1,Unknown
14221,                                                                           ,-1,Unknown
17014, **************************************************************************,-1,Unknown
69080, //////////////////////////////////////////////////////////////////////////,-1,Unknown
37096, =========================================================================,-1,Unknown
39700,                                                                          ,-1,Unknown
62882,//************************************************************************,-1,Unknown
87784, -------------------------------------------------------------------------,-1,Unknown
93661, /************************************************************************,-1,Unknown
10221, ************************************************************************,-1,Unknown
11042,/************************************************************************,-1,Unknown
44606,                                                                         ,-1,Unknown
90623, ########################################################################,-1,Unknown
5421,************************************************************************,-1,Unknown
33947,////////////////////////////////////////////////////////////////////////,-1,Unknown
35914,                                                                        ,-1,Unknown
66723,########################################################################,-1,Unknown
21641,                                                                       ,-1,Unknown
91895, //////////////////////////////////////////////////////////////////////,-1,Unknown
45207,                                                                      ,-1,Unknown
51475,----------------------------------------------------------------------,-1,Unknown
41293,                                                                     ,-1,Unknown
41775,////////////////////////////////////////////////////////////////////,-1,Unknown
49349,                                                                    ,-1,Unknown
18690,                                                                   ,-1,Unknown
34442, //----------------------------------------------------------------,-1,Unknown
65271, /*----------------------------------------------------------------,-1,Unknown
83025, //================================================================,-1,Unknown
9595,//----------------------------------------------------------------,-1,Unknown
15692, =================================================================,-1,Unknown
22438,//================================================================,-1,Unknown
28888,/*----------------------------------------------------------------,-1,Unknown
42961,/*================================================================,-1,Unknown
45964,                                                                  ,-1,Unknown
53408,//****************************************************************,-1,Unknown
74510, *----------------------------------------------------------------,-1,Unknown
95564, /****************************************************************,-1,Unknown
8206, ----------------------------------------------------------------,-1,Unknown
19546,/****************************************************************,-1,Unknown
21601, ****************************************************************,-1,Unknown
36909,                                                                 ,-1,Unknown
46882, ################################################################,-1,Unknown
69558,#================================================================,-1,Unknown
72933,#----------------------------------------------------------------,-1,Unknown
83102, ................................................................,-1,Unknown
3398,----------------------------------------------------------------,-1,Unknown
3941,****************************************************************,-1,Unknown
5071,                                                                ,-1,Unknown
7895,================================================================,-1,Unknown
9530,////////////////////////////////////////////////////////////////,-1,Unknown
12691,################################################################,-1,Unknown
40866,................................................................,-1,Unknown
45365,________________________________________________________________,-1,Unknown
76779,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,-1,Unknown
14826,                                                               ,-1,Unknown
68270, ==============================================================,-1,Unknown
35853,                                                              ,-1,Unknown
30927,                                                             ,-1,Unknown
83642, ------------------------------------------------------------,-1,Unknown
37207,                                                            ,-1,Unknown
62393,////////////////////////////////////////////////////////////,-1,Unknown
94467,############################################################,-1,Unknown
11611,                                                           ,-1,Unknown
31593,                                                          ,-1,Unknown
25232,                                                         ,-1,Unknown
62994, ********************************************************,-1,Unknown
63925,/********************************************************,-1,Unknown
27860,                                                        ,-1,Unknown
51361,********************************************************,-1,Unknown
58856,////////////////////////////////////////////////////////,-1,Unknown
86941,########################################################,-1,Unknown
7879,                                                       ,-1,Unknown
24952,                                                      ,-1,Unknown
20334,                                                     ,-1,Unknown
23581,                                                    ,-1,Unknown
79986,////////////////////////////////////////////////////,-1,Unknown
6173,                                                   ,-1,Unknown
63777, //------------------------------------------------,-1,Unknown
20851,                                                  ,-1,Unknown
27651, =================================================,-1,Unknown
29876,//------------------------------------------------,-1,Unknown
70578,/*------------------------------------------------,-1,Unknown
73890,//================================================,-1,Unknown
17122,                                                 ,-1,Unknown
17497, ------------------------------------------------,-1,Unknown
64893, ################################################,-1,Unknown
69395, ************************************************,-1,Unknown
75684,/************************************************,-1,Unknown
91668,"                                                
",-1,Unknown
8956,------------------------------------------------,-1,Unknown
18186,                                                ,-1,Unknown
18215,================================================,-1,Unknown
26518,////////////////////////////////////////////////,-1,Unknown
28877,################################################,-1,Unknown
45020,************************************************,-1,Unknown
58180,————————————————,-1,Unknown
4420,                                               ,-1,Unknown
16754,                                              ,-1,Unknown
13076,                                             ,-1,Unknown
75321,"                                            
",-1,Unknown
138563,承担一切因您的行为而直接或间接,0.25555158997317423,CRITICAL
142608,转载请附上原文出处链接和本声明,0.3064755639555353,CRITICAL
143132,加倍支付迟延履行期间的债务利息,0.39040617504004504,CRITICAL
147126,摘编或利用其它方式使用上述作品,0.4130476868066089,CRITICAL
147476,凭营业执照依法自主开展经营活动,0.3431571442724333,CRITICAL
189153,ข้อมูลเพิ่มเติม,0.3477069011037593,CRITICAL
202938,ประสบความสำเร็จ,0.21712956872914774,CRITICAL
216342,ความเป็นส่วนตัว,0.3566869119037174,CRITICAL
220920,อย่างเป็นทางการ,0.2144214263923632,CRITICAL
233092,อย่างไม่ถูกต้อง,0.0771404330096116,CRITICAL
238468,อสังหาริมทรัพย์,0.2055792918574467,CRITICAL
241302,ที่เที่ยวแห่งปี,-0.020417334168881196,CRITICAL
244082,ที่มีสระว่ายน้ำ,0.01909260513787136,CRITICAL
14978,                                            ,-1,Unknown
3235,                                           ,-1,Unknown
178834, กิจกรรมน่าสนใจ,0.09017293635385627,CRITICAL
236333, โรงแรมบรรยากาศ,-0.046541148589483376,CRITICAL
240049, ดูครั้งสุดท้าย,0.02216947973015005,CRITICAL
242037, ตามระดับโรงแรม,0.031190646192353608,CRITICAL
13857,                                          ,-1,Unknown
60365,.translatesAutoresizingMaskIntoConstraints,-1,Unknown
85748,"                    
                    
",-1,Unknown
126902,开通天眼生意通银牌及以上会员,0.4629007585186147,CRITICAL
135049,并不意味着赞同其观点或证实其,0.22866580717171342,CRITICAL
168665,สังหาริมทรัพย์,0.02057499470507644,CRITICAL
174128,ที่น่าสนใจใกล้,0.022441547217668518,CRITICAL
178972,อำนวยความสะดวก,-1,Unknown
191095,อย่างต่อเนื่อง,0.2115405181791378,CRITICAL
196028,ได้รับความนิยม,0.42553181949274843,CRITICAL
