ID,Text,Split,PPL
138563,承担一切因您的行为而直接或间接,"[""这"", ""是"", ""每"", ""个"", ""字""]",218.64018
142608,转载请附上原文出处链接和本声明,"[""请"", ""务"", ""必"", ""掌"", ""握"", ""每"", ""个"", ""字""]",2.02416
143132,加倍支付迟延履行期间的债务利息,"[""加"", ""倍"", ""支"", ""付"", ""期"", ""间"", ""的"", ""迟"", ""延"", ""履"", ""行"", ""债"", ""务"", ""利"", ""息""]",1.0408785
147126,摘编或利用其它方式使用上述作品,"[""期"", ""满"", ""未"", ""经"", ""允"", ""许"", ""或"", ""者"", ""每"", ""次""]",3.1865609
147476,凭营业执照依法自主开展经营活动,"[""自"", ""我"", ""表"", ""现"", ""力"", ""提"", ""高"", ""法""]",1.0037552
126902,开通天眼生意通银牌及以上会员,"[""来"", ""自"", ""可"", ""能""]",10.100988
135049,并不意味着赞同其观点或证实其,"[""并"", ""非"", ""也"", ""不"", ""知"", ""道"", ""这"", ""个"", ""词"", ""是"", ""什"", ""么""]",58.51354
112978,新时代中国特色社会主义思想,True,-1
124399,赞同其观点和对其真实性负责,"[""真"", ""诚"", ""履"", ""行"", ""承"", ""诺""]",1.0908163
137548,以习近平同志为核心的党中央,"[""习"", ""近"", ""平"", ""的"", ""党"", ""中"", ""央"", ""委"", ""以"", ""每"", ""个"", ""字"", ""是""]",1.6385014
141786,可通过二维码转账支持公众号,"[""请"", ""同"", ""笔"", ""头"", ""每"", ""个"", ""字"", ""是"", ""什"", ""么""]",13.770874
145667,该楼层疑似违规已被系统折叠,"[""我"", ""不"", ""知"", ""道""]",2.6633732
113694,中华人民共和国民事诉讼法,True,-1
128054,中华人民共和国居民身份证,"[""中"", ""国"", ""居"", ""民"", ""身"", ""份"", ""证""]",1.0048363
130797,转载目的在于传递更多信息,"[""向"", ""市"", ""场"", ""监"", ""督"", ""管"", ""理"", ""局"", ""交"", ""涉"", ""部""]",1.3892872
140391,这样您就可以继续免费收到,"[""才"", ""能"", ""够"", ""顺"", ""利"", ""收"", ""到"", ""每"", ""个"", ""字""]",2.541014
140453,转贴或以其他方式复制发表,"[""尊"", ""重"", ""地"", ""接"", ""受"", ""每"", ""个"", ""字""]",2.284642
144599,本网将追究其相关法律责任,"[""平"", ""抑"", ""成"", ""就""]",1.1994185
144742,判决书送达之日起十五日内,"[""十"", ""五"", ""日"", ""内"", ""送"", ""达""]",1.0105993
213283,よろしくお願いいたします,"[""请"", ""た"", ""の"", ""し"", ""て"", ""く"", ""だ"", ""さ"", ""い""]",1.0025147
105600,新时代中国特色社会主义,True,-1
107597,摘编或利用其它方式使用,"[""写"", ""进"", ""每"", ""个"", ""字""]",2.3930118
107619,转载请附上原文出处链接,"[""承"", ""担"", ""人""]",1.0687962
128510,或许有别人想知道的答案,"[""A"", ""d"", ""d"", ""r"", ""e"", ""s"", ""s"", ""P"", ""a"", ""r"", ""t""]",3.0775177
128904,出于传递更多信息之目的,"[""处"", ""于"", ""期"", ""望"", ""之"", ""外""]",1.5040015
138915,转载至本站只是为了宣传,"[""发"", ""生"", ""遗"", ""精""]",27.287777
140050,增值电信业务经营许可证,True,-1
140133,人民代表大会常务委员会,True,-1
143260,全面建设社会主义现代化,True,-1
143545,认证成功后即可编辑信息,"[""有"", ""亲"", ""力"", ""无"", ""穷""]",1.5381863
145512,了解企业实力直观的方式,"[""要"", ""没"", ""有"", """"]",2.492245
