ID,Text,Split,PPL
502,--------,"!EARLY_STOP -"",",1.001168
584,********,"[""*"",""*"",""*"",""`"",""*"",""*"",""*""]",1.0002224
857,========,!EARLY_STOP 每,1.0007105
1108,////////,!EARLY_STOP 每,1.0005069
1309,########,!EARLY_STOP 每,1.0089786
3846,________,!EARLY_STOP 每,2.006671
3873,........,"!EARLY_STOP ."",",1.0017858
8939,%%%%%%%%,"!EARLY_STOP %"",",1.2485394
14985,"=""../../","!EARLY_STOP ."",",1.0053523
21060,('../../,"!EARLY_STOP ."",",1.1844254
23247,/******/,"!EARLY_STOP /"",",1.001298
24588,++++++++,"!EARLY_STOP +"",",1.0282745
35581,"(""../../","!EARLY_STOP /"",",1.1306462
38967,;;;;;;;;,"!EARLY_STOP ;"",",1.118751
40992,+-+-+-+-,"!EARLY_STOP +"",",1.0004448
44285,"')}}""></",!EARLY_STOP {,1.0016763
47751,>>>>>>>>,"!EARLY_STOP >"",",1.000427
48869,::::::::,!EARLY_STOP 每,1.0021653
48962,!!!!!!!!,"!EARLY_STOP !"",",1.0001335
53932,=-=-=-=-,"!EARLY_STOP ="",",1.0015873
54104,",,,,,,,,",!EARLY_STOP ，,1.0006334
79294,<<<<<<<<,"[""<"", ""!"", ""-"", ""-"", ""-"", ""-"", "">""]",1.0226567
81577,".""','"".$",!EARLY_STOP |,1.899751
89828,')->__(',!EARLY_STOP 每,1.0987949
94448,"?,?,?,?,","!EARLY_STOP ?"",",1.0006934
20308,-------,!EARLY_STOP 每,1.0016081
20339,******/,"!EARLY_STOP /"",",1.0023439
28117,"',['../",!EARLY_STOP d,1.049674
37745,*******,!EARLY_STOP 每,1.0001858
42231,'];?></,!EARLY_STOP 你,1.0120463
46991,.......,"!EARLY_STOP ."",",1.0022995
57031,');?></,!EARLY_STOP <,1.0102334
59181,------+,"!EARLY_STOP +"",",3.9299471
67706,"(@""%@"",","!EARLY_STOP @"",",1.0985494
73500,"','=','","!EARLY_STOP ="",",1.0044374
75083,":@""%@"",","!EARLY_STOP %"",",1.0035189
