ID,Text,Delete
55036,                                                                                                                                ,1
86111,//----------------------------------------------------------------------------------------------------------------,1
54448,//------------------------------------------------------------------------------------------------,1
83555,/************************************************************************************************,1
58584,////////////////////////////////////////////////////////////////////////////////////////////////,1
95071,------------------------------------------------------------------------------------------------,1
83770,                                                                                               ,1
77120,                                                                                           ,1
63067,                                                                                       ,1
49741,                                                                                   ,1
48858,//--------------------------------------------------------------------------------,1
91049,//================================================================================,1
73049,/********************************************************************************,1
92130,                                                                                 ,1
27309,////////////////////////////////////////////////////////////////////////////////,1
39148,################################################################################,1
42013,--------------------------------------------------------------------------------,1
59611,********************************************************************************,1
61252,================================================================================,1
94057,                                                                                ,1
38177,                                                                               ,1
17473,//----------------------------------------------------------------------------,1
55962,/*----------------------------------------------------------------------------,1
62058,//****************************************************************************,1
78420,                                                                              ,1
21865,/****************************************************************************,1
56612,                                                                             ,1
58863,#----------------------------------------------------------------------------,1
21653,----------------------------------------------------------------------------,1
26309,////////////////////////////////////////////////////////////////////////////,1
30986,############################################################################,1
32406,****************************************************************************,1
53928,                                                                            ,1
14221,                                                                           ,1
39700,                                                                          ,1
62882,//************************************************************************,1
11042,/************************************************************************,1
44606,                                                                         ,1
5421,************************************************************************,1
33947,////////////////////////////////////////////////////////////////////////,1
35914,                                                                        ,1
66723,########################################################################,1
21641,                                                                       ,1
45207,                                                                      ,1
51475,----------------------------------------------------------------------,1
41293,                                                                     ,1
41775,////////////////////////////////////////////////////////////////////,1
49349,                                                                    ,1
18690,                                                                   ,1
9595,//----------------------------------------------------------------,1
22438,//================================================================,1
28888,/*----------------------------------------------------------------,1
42961,/*================================================================,1
45964,                                                                  ,1
53408,//****************************************************************,1
19546,/****************************************************************,1
36909,                                                                 ,1
69558,#================================================================,1
72933,#----------------------------------------------------------------,1
3398,----------------------------------------------------------------,1
3941,****************************************************************,1
5071,                                                                ,1
7895,================================================================,1
9530,////////////////////////////////////////////////////////////////,1
12691,################################################################,1
40866,................................................................,1
45365,________________________________________________________________,1
76779,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,1
14826,                                                               ,1
35853,                                                              ,1
30927,                                                             ,1
37207,                                                            ,1
62393,////////////////////////////////////////////////////////////,1
94467,############################################################,1
11611,                                                           ,1
31593,                                                          ,1
25232,                                                         ,1
63925,/********************************************************,1
27860,                                                        ,1
51361,********************************************************,1
58856,////////////////////////////////////////////////////////,1
86941,########################################################,1
7879,                                                       ,1
